insert [Sahara Online Store]
( [Date].[2019].[Q1].[M1].[4], [Goods].[Electronic/Electrical].[Video Games].[Xbox], [Region].[North America].[Saint Vincent and the Grenadines], [Payment Methods].[PayPal], [Customer Types].[Bargain hunters], [Sales Channels].[Affiliate marketing] Measures [Sales] 27 [Sales Count] 7 ),
( [Date].[2021].[Q1].[M2].[28], [Goods].[Foodstuff].[Meat].[Beef], [Region].[Asia].[Kazakhstan], [Payment Methods].[Apple Pay], [Customer Types].[Impulsive buyers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 25 [Sales Count] 4 ),
( [Date].[2021].[Q1].[M3].[1], [Goods].[Clothing].[Shoes].[Leather Shoes], [Region].[Africa].[Niger], [Payment Methods].[Prepaid cards], [Customer Types].[Window shoppers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 8 [Sales Count] 8 ),
( [Date].[2021].[Q1].[M3].[2], [Goods].[Motion].[Fitness Equipment].[Barbell], [Region].[Africa].[Burkina Faso], [Payment Methods].[Cash on delivery], [Customer Types].[Bargain hunters], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 14 [Sales Count] 1 ),
( [Date].[2021].[Q1].[M3].[7], [Goods].[Clothing].[Men].[Shirt], [Region].[South America].[Brazil], [Payment Methods].[Cash on delivery], [Customer Types].[Indecisive buyers], [Sales Channels].[Telemarketing] Measures [Sales] 22 [Sales Count] 7 ),
( [Date].[2021].[Q1].[M3].[16], [Goods].[Foodstuff].[Fruits].[Durian], [Region].[South America].[Ecuador], [Payment Methods].[Debit card], [Customer Types].[Window shoppers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 12 [Sales Count] 8 ),
( [Date].[2021].[Q1].[M3].[21], [Goods].[Motion].[Fishing Supplies].[Rod], [Region].[Africa].[Liberia], [Payment Methods].[Google Pay], [Customer Types].[Window shoppers], [Sales Channels].[Email marketing] Measures [Sales] 21 [Sales Count] 0 ),
( [Date].[2021].[Q2].[M4].[1], [Goods].[Motion].[Other].[Mountain Biking], [Region].[Africa].[Mauritania], [Payment Methods].[Debit card], [Customer Types].[Product-focused buyers], [Sales Channels].[Content marketing] Measures [Sales] 22 [Sales Count] 0 ),
( [Date].[2021].[Q2].[M4].[5], [Goods].[Electronic/Electrical].[Video Games].[Xbox], [Region].[Africa].[Guinea], [Payment Methods].[Debit card], [Customer Types].[New customers], [Sales Channels].[Affiliate marketing] Measures [Sales] 10 [Sales Count] 3 ),
( [Date].[2021].[Q2].[M4].[8], [Goods].[Motion].[Fitness Equipment].[Dumbbell], [Region].[Asia].[Israel], [Payment Methods].[Google Pay], [Customer Types].[Bargain hunters], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 10 [Sales Count] 5 ),
( [Date].[2021].[Q2].[M4].[13], [Goods].[Motion].[Fishing Supplies].[Float], [Region].[Asia].[Philippines], [Payment Methods].[Credit card], [Customer Types].[Loyal customers], [Sales Channels].[Affiliate marketing] Measures [Sales] 26 [Sales Count] 0 ),
( [Date].[2021].[Q2].[M5].[21], [Goods].[Electronic/Electrical].[Office Supplies].[Shredder], [Region].[Asia].[Azerbaijan], [Payment Methods].[Google Pay], [Customer Types].[Return customers], [Sales Channels].[Email marketing] Measures [Sales] 9 [Sales Count] 3 ),
( [Date].[2021].[Q2].[M5].[24], [Goods].[Electronic/Electrical].[Office Supplies].[Printer], [Region].[Asia].[Vietnam], [Payment Methods].[Cash on delivery], [Customer Types].[Researchers], [Sales Channels].[Direct sales] Measures [Sales] 25 [Sales Count] 3 ),
( [Date].[2021].[Q2].[M6].[1], [Goods].[Clothing].[Shoes].[Slippers], [Region].[Oceania].[Marshall Islands], [Payment Methods].[Bank transfer], [Customer Types].[Researchers], [Sales Channels].[Dropshipping] Measures [Sales] 11 [Sales Count] 2 ),
( [Date].[2021].[Q2].[M6].[6], [Goods].[Clothing].[Jewelry].[Scarf], [Region].[Oceania].[Micronesia (The Federated States of)], [Payment Methods].[Credit card], [Customer Types].[Bargain hunters], [Sales Channels].[Telemarketing] Measures [Sales] 25 [Sales Count] 6 ),
( [Date].[2021].[Q2].[M6].[9], [Goods].[Foodstuff].[Fruits].[Banana], [Region].[Africa].[Madagascar], [Payment Methods].[Credit card], [Customer Types].[Researchers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 21 [Sales Count] 3 ),
( [Date].[2021].[Q2].[M6].[16], [Goods].[Electronic/Electrical].[Office Supplies].[Printer], [Region].[Africa].[Togo], [Payment Methods].[Credit card], [Customer Types].[Indecisive buyers], [Sales Channels].[Dropshipping] Measures [Sales] 29 [Sales Count] 2 ),
( [Date].[2021].[Q2].[M6].[19], [Goods].[Foodstuff].[Meat].[Beef], [Region].[Africa].[Egypt], [Payment Methods].[PayPal], [Customer Types].[Impulsive buyers], [Sales Channels].[Social media] Measures [Sales] 7 [Sales Count] 4 ),
( [Date].[2021].[Q2].[M6].[20], [Goods].[Electronic/Electrical].[Video Games].[Switch], [Region].[Oceania].[Tonga], [Payment Methods].[Apple Pay], [Customer Types].[Researchers], [Sales Channels].[Content marketing] Measures [Sales] 19 [Sales Count] 7 ),
( [Date].[2021].[Q2].[M6].[27], [Goods].[Motion].[Ball].[Football], [Region].[North America].[Canada], [Payment Methods].[Prepaid cards], [Customer Types].[One-time buyers], [Sales Channels].[Content marketing] Measures [Sales] 19 [Sales Count] 5 ),
( [Date].[2021].[Q3].[M7].[10], [Goods].[Motion].[Other].[Mountain Biking], [Region].[South America].[Guyana], [Payment Methods].[Digital wallets], [Customer Types].[Bargain hunters], [Sales Channels].[Telemarketing] Measures [Sales] 12 [Sales Count] 4 ),
( [Date].[2021].[Q3].[M7].[27], [Goods].[Motion].[Fitness Equipment].[Treadmill], [Region].[Africa].[South Africa], [Payment Methods].[PayPal], [Customer Types].[Bargain hunters], [Sales Channels].[Affiliate marketing] Measures [Sales] 23 [Sales Count] 7 ),
( [Date].[2021].[Q3].[M8].[8], [Goods].[Motion].[Ball].[Rugby], [Region].[North America].[Honduras], [Payment Methods].[Prepaid cards], [Customer Types].[Window shoppers], [Sales Channels].[Social media] Measures [Sales] 28 [Sales Count] 9 ),
( [Date].[2021].[Q3].[M8].[29], [Goods].[Electronic/Electrical].[Cell Phone].[Apple], [Region].[Asia].[Indonesia], [Payment Methods].[Amazon Pay], [Customer Types].[Product-focused buyers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 19 [Sales Count] 0 ),
( [Date].[2021].[Q3].[M8].[31], [Goods].[Electronic/Electrical].[Cell Phone].[Xiaomi], [Region].[North America].[Costa Rica], [Payment Methods].[Bank transfer], [Customer Types].[Loyal customers], [Sales Channels].[Affiliate marketing] Measures [Sales] 1 [Sales Count] 7 ),
( [Date].[2021].[Q3].[M9].[25], [Goods].[Motion].[Fishing Supplies].[Fishing Lights], [Region].[Oceania].[Vanuatu], [Payment Methods].[PayPal], [Customer Types].[Researchers], [Sales Channels].[Direct sales] Measures [Sales] 13 [Sales Count] 5 ),
( [Date].[2021].[Q4].[M10].[1], [Goods].[Motion].[Other].[Surfboard], [Region].[Asia].[Kyrgyzstan], [Payment Methods].[Debit card], [Customer Types].[Return customers], [Sales Channels].[Direct sales] Measures [Sales] 2 [Sales Count] 0 ),
( [Date].[2021].[Q4].[M10].[7], [Goods].[Electronic/Electrical].[Cell Phone].[Samsung], [Region].[Asia].[Myanmar], [Payment Methods].[Bank transfer], [Customer Types].[Window shoppers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 5 [Sales Count] 5 ),
( [Date].[2021].[Q4].[M10].[9], [Goods].[Foodstuff].[Wine].[Beer], [Region].[South America].[Chile], [Payment Methods].[Prepaid cards], [Customer Types].[Return customers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 26 [Sales Count] 1 ),
( [Date].[2021].[Q4].[M10].[14], [Goods].[Motion].[Ball].[Football], [Region].[Asia].[Azerbaijan], [Payment Methods].[Prepaid cards], [Customer Types].[Impulsive buyers], [Sales Channels].[Social media] Measures [Sales] 13 [Sales Count] 0 ),
( [Date].[2021].[Q4].[M10].[25], [Goods].[Foodstuff].[Drink].[Milk], [Region].[Africa].[Morocco], [Payment Methods].[Debit card], [Customer Types].[New customers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 9 [Sales Count] 7 ),
( [Date].[2021].[Q4].[M11].[2], [Goods].[Electronic/Electrical].[Video Games].[Xbox], [Region].[Asia].[Timor-Leste/East Timor], [Payment Methods].[Apple Pay], [Customer Types].[Product-focused buyers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 10 [Sales Count] 7 ),
( [Date].[2021].[Q4].[M11].[26], [Goods].[Foodstuff].[Fruits].[Durian], [Region].[Africa].[Zambia], [Payment Methods].[Google Pay], [Customer Types].[Loyal customers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 12 [Sales Count] 7 ),
( [Date].[2021].[Q4].[M12].[14], [Goods].[Motion].[Fishing Supplies].[Fishing Line], [Region].[Africa].[Eswatini], [Payment Methods].[Credit card], [Customer Types].[Impulsive buyers], [Sales Channels].[Wholesale] Measures [Sales] 27 [Sales Count] 6 ),
( [Date].[2021].[Q4].[M12].[17], [Goods].[Electronic/Electrical].[Household Appliances].[Washer], [Region].[Asia].[Nepal], [Payment Methods].[PayPal], [Customer Types].[One-time buyers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 25 [Sales Count] 0 ),
( [Date].[2021].[Q4].[M12].[18], [Goods].[Clothing].[Jewelry].[Glove], [Region].[Europe].[Hungary], [Payment Methods].[Apple Pay], [Customer Types].[Return customers], [Sales Channels].[Social media] Measures [Sales] 17 [Sales Count] 9 ),
( [Date].[2021].[Q4].[M12].[20], [Goods].[Motion].[Other].[Kayaking], [Region].[Asia].[Qatar], [Payment Methods].[PayPal], [Customer Types].[New customers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 6 [Sales Count] 1 ),
( [Date].[2022].[Q1].[M1].[3], [Goods].[Foodstuff].[Wine].[Sake], [Region].[Asia].[Kazakhstan], [Payment Methods].[Amazon Pay], [Customer Types].[Return customers], [Sales Channels].[Wholesale] Measures [Sales] 24 [Sales Count] 2 ),
( [Date].[2022].[Q1].[M1].[6], [Goods].[Electronic/Electrical].[Video Games].[Ps], [Region].[Africa].[Sudan], [Payment Methods].[Bank transfer], [Customer Types].[One-time buyers], [Sales Channels].[Telemarketing] Measures [Sales] 20 [Sales Count] 5 ),
( [Date].[2022].[Q1].[M1].[17], [Goods].[Electronic/Electrical].[Household Appliances].[Refrigerator], [Region].[Europe].[Moldova], [Payment Methods].[Prepaid cards], [Customer Types].[Product-focused buyers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 11 [Sales Count] 0 ),
( [Date].[2022].[Q1].[M1].[25], [Goods].[Motion].[Other].[Kayaking], [Region].[South America].[Peru], [Payment Methods].[Credit card], [Customer Types].[Window shoppers], [Sales Channels].[Dropshipping] Measures [Sales] 4 [Sales Count] 8 ),
( [Date].[2022].[Q1].[M1].[31], [Goods].[Motion].[Ball].[Volleyball], [Region].[Europe].[San Marino], [Payment Methods].[Apple Pay], [Customer Types].[Indecisive buyers], [Sales Channels].[Affiliate marketing] Measures [Sales] 15 [Sales Count] 6 ),
( [Date].[2022].[Q1].[M2].[1], [Goods].[Foodstuff].[Wine].[Sake], [Region].[Europe].[Ireland], [Payment Methods].[Amazon Pay], [Customer Types].[Window shoppers], [Sales Channels].[Dropshipping] Measures [Sales] 27 [Sales Count] 2 ),
( [Date].[2022].[Q1].[M2].[4], [Goods].[Clothing].[Jewelry].[Belt], [Region].[South America].[Bolivia], [Payment Methods].[Apple Pay], [Customer Types].[Bargain hunters], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 22 [Sales Count] 5 ),
( [Date].[2022].[Q1].[M2].[6], [Goods].[Clothing].[Shoes].[Slippers], [Region].[Africa].[Nigeria], [Payment Methods].[Prepaid cards], [Customer Types].[New customers], [Sales Channels].[Content marketing] Measures [Sales] 3 [Sales Count] 9 ),
( [Date].[2022].[Q1].[M2].[6], [Goods].[Electronic/Electrical].[Household Appliances].[Refrigerator], [Region].[Asia].[Lebanon], [Payment Methods].[Digital wallets], [Customer Types].[New customers], [Sales Channels].[Dropshipping] Measures [Sales] 9 [Sales Count] 5 ),
( [Date].[2022].[Q1].[M2].[10], [Goods].[Clothing].[Jewelry].[Scarf], [Region].[Asia].[Bhutan], [Payment Methods].[Google Pay], [Customer Types].[Loyal customers], [Sales Channels].[Dropshipping] Measures [Sales] 7 [Sales Count] 1 ),
( [Date].[2022].[Q1].[M3].[7], [Goods].[Clothing].[Shoes].[Canvas Shoes], [Region].[South America].[Paraguay], [Payment Methods].[Prepaid cards], [Customer Types].[Bargain hunters], [Sales Channels].[Wholesale] Measures [Sales] 0 [Sales Count] 2 ),
( [Date].[2022].[Q1].[M3].[16], [Goods].[Motion].[Fishing Supplies].[Fishing Lights], [Region].[North America].[Belize], [Payment Methods].[Bank transfer], [Customer Types].[Researchers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 15 [Sales Count] 9 ),
( [Date].[2022].[Q1].[M3].[24], [Goods].[Motion].[Fishing Supplies].[Rod], [Region].[Africa].[Sao Tome and Principe], [Payment Methods].[Apple Pay], [Customer Types].[Return customers], [Sales Channels].[Telemarketing] Measures [Sales] 23 [Sales Count] 3 ),
( [Date].[2022].[Q2].[M4].[10], [Goods].[Motion].[Fitness Equipment].[Yoga Mat], [Region].[Africa].[Mali], [Payment Methods].[Bank transfer], [Customer Types].[Return customers], [Sales Channels].[Wholesale] Measures [Sales] 26 [Sales Count] 2 ),
( [Date].[2022].[Q2].[M4].[14], [Goods].[Motion].[Fitness Equipment].[Barbell], [Region].[Oceania].[Micronesia (The Federated States of)], [Payment Methods].[Cash on delivery], [Customer Types].[Researchers], [Sales Channels].[Direct sales] Measures [Sales] 0 [Sales Count] 1 ),
( [Date].[2022].[Q2].[M5].[2], [Goods].[Motion].[Other].[Mountain Biking], [Region].[Oceania].[Solomon Islands], [Payment Methods].[Bank transfer], [Customer Types].[Window shoppers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 3 [Sales Count] 2 ),
( [Date].[2022].[Q2].[M5].[16], [Goods].[Electronic/Electrical].[Cell Phone].[Oppo], [Region].[Asia].[Bangladesh], [Payment Methods].[Bank transfer], [Customer Types].[Indecisive buyers], [Sales Channels].[Wholesale] Measures [Sales] 26 [Sales Count] 4 ),
( [Date].[2022].[Q2].[M5].[17], [Goods].[Clothing].[Shoes].[Slippers], [Region].[Asia].[Laos], [Payment Methods].[PayPal], [Customer Types].[Researchers], [Sales Channels].[Affiliate marketing] Measures [Sales] 8 [Sales Count] 2 ),
( [Date].[2022].[Q2].[M6].[8], [Goods].[Motion].[Fitness Equipment].[Treadmill], [Region].[Africa].[Burkina Faso], [Payment Methods].[Prepaid cards], [Customer Types].[Loyal customers], [Sales Channels].[Telemarketing] Measures [Sales] 12 [Sales Count] 6 ),
( [Date].[2022].[Q2].[M6].[14], [Goods].[Electronic/Electrical].[Cell Phone].[Apple], [Region].[Africa].[Chad], [Payment Methods].[Digital wallets], [Customer Types].[Loyal customers], [Sales Channels].[Wholesale] Measures [Sales] 21 [Sales Count] 5 ),
( [Date].[2022].[Q2].[M6].[14], [Goods].[Motion].[Other].[Mountain Biking], [Region].[Africa].[Egypt], [Payment Methods].[Amazon Pay], [Customer Types].[Loyal customers], [Sales Channels].[Affiliate marketing] Measures [Sales] 25 [Sales Count] 1 ),
( [Date].[2022].[Q2].[M6].[20], [Goods].[Electronic/Electrical].[Household Appliances].[Air Conditioning], [Region].[Asia].[Nepal], [Payment Methods].[Prepaid cards], [Customer Types].[Window shoppers], [Sales Channels].[Affiliate marketing] Measures [Sales] 5 [Sales Count] 5 ),
( [Date].[2022].[Q2].[M6].[20], [Goods].[Foodstuff].[Wine].[Sake], [Region].[Africa].[Cameroon], [Payment Methods].[Google Pay], [Customer Types].[Return customers], [Sales Channels].[Email marketing] Measures [Sales] 19 [Sales Count] 1 ),
( [Date].[2022].[Q2].[M6].[25], [Goods].[Foodstuff].[Meat].[Beef], [Region].[Asia].[Bahrain], [Payment Methods].[Digital wallets], [Customer Types].[Loyal customers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 7 [Sales Count] 8 ),
( [Date].[2022].[Q2].[M6].[28], [Goods].[Electronic/Electrical].[Office Supplies].[Printer], [Region].[Asia].[Pakistan], [Payment Methods].[Amazon Pay], [Customer Types].[Indecisive buyers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 27 [Sales Count] 9 ),
( [Date].[2022].[Q3].[M7].[13], [Goods].[Electronic/Electrical].[Video Games].[Arcade], [Region].[Africa].[Ivory Coast/Republic of Côte d'Ivoire], [Payment Methods].[Digital wallets], [Customer Types].[Indecisive buyers], [Sales Channels].[Telemarketing] Measures [Sales] 14 [Sales Count] 8 ),
( [Date].[2022].[Q3].[M7].[23], [Goods].[Electronic/Electrical].[Video Games].[Switch], [Region].[Europe].[Monaco], [Payment Methods].[Digital wallets], [Customer Types].[Loyal customers], [Sales Channels].[Dropshipping] Measures [Sales] 24 [Sales Count] 3 ),
( [Date].[2022].[Q3].[M8].[12], [Goods].[Motion].[Fitness Equipment].[Yoga Mat], [Region].[Europe].[Luxembourg], [Payment Methods].[Amazon Pay], [Customer Types].[Impulsive buyers], [Sales Channels].[Dropshipping] Measures [Sales] 15 [Sales Count] 1 ),
( [Date].[2022].[Q3].[M8].[31], [Goods].[Motion].[Other].[Kayaking], [Region].[Asia].[Oman], [Payment Methods].[Digital wallets], [Customer Types].[Window shoppers], [Sales Channels].[Direct sales] Measures [Sales] 7 [Sales Count] 6 ),
( [Date].[2022].[Q3].[M9].[9], [Goods].[Electronic/Electrical].[Video Games].[Ps], [Region].[Africa].[Burundi], [Payment Methods].[Apple Pay], [Customer Types].[Indecisive buyers], [Sales Channels].[Telemarketing] Measures [Sales] 0 [Sales Count] 8 ),
( [Date].[2022].[Q3].[M9].[10], [Goods].[Foodstuff].[Drink].[Tea], [Region].[Oceania].[Papua New Guinea], [Payment Methods].[Digital wallets], [Customer Types].[Researchers], [Sales Channels].[Wholesale] Measures [Sales] 28 [Sales Count] 8 ),
( [Date].[2022].[Q3].[M9].[21], [Goods].[Electronic/Electrical].[Cell Phone].[Oppo], [Region].[Europe].[Liechtenstein], [Payment Methods].[Cash on delivery], [Customer Types].[Product-focused buyers], [Sales Channels].[Content marketing] Measures [Sales] 24 [Sales Count] 8 ),
( [Date].[2022].[Q4].[M10].[2], [Goods].[Electronic/Electrical].[Office Supplies].[Printer], [Region].[Africa].[South Africa], [Payment Methods].[PayPal], [Customer Types].[Product-focused buyers], [Sales Channels].[Affiliate marketing] Measures [Sales] 12 [Sales Count] 1 ),
( [Date].[2022].[Q4].[M10].[8], [Goods].[Electronic/Electrical].[Office Supplies].[Electrograph], [Region].[Africa].[Niger], [Payment Methods].[Digital wallets], [Customer Types].[One-time buyers], [Sales Channels].[Affiliate marketing] Measures [Sales] 18 [Sales Count] 4 ),
( [Date].[2022].[Q4].[M10].[14], [Goods].[Electronic/Electrical].[Video Games].[Arcade], [Region].[Asia].[China], [Payment Methods].[Bank transfer], [Customer Types].[Product-focused buyers], [Sales Channels].[Direct sales] Measures [Sales] 13 [Sales Count] 1 ),
( [Date].[2022].[Q4].[M10].[19], [Goods].[Electronic/Electrical].[Video Games].[Ps], [Region].[Asia].[Armenia], [Payment Methods].[Digital wallets], [Customer Types].[One-time buyers], [Sales Channels].[Telemarketing] Measures [Sales] 8 [Sales Count] 0 ),
( [Date].[2022].[Q4].[M11].[26], [Goods].[Foodstuff].[Meat].[Beef], [Region].[Asia].[Syria], [Payment Methods].[Prepaid cards], [Customer Types].[One-time buyers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 0 [Sales Count] 8 ),
( [Date].[2022].[Q4].[M11].[30], [Goods].[Motion].[Ball].[Basketball], [Region].[Africa].[Madagascar], [Payment Methods].[Bank transfer], [Customer Types].[Bargain hunters], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 5 [Sales Count] 8 ),
( [Date].[2022].[Q4].[M12].[2], [Goods].[Foodstuff].[Fruits].[Peach], [Region].[Asia].[Kyrgyzstan], [Payment Methods].[PayPal], [Customer Types].[Window shoppers], [Sales Channels].[Dropshipping] Measures [Sales] 29 [Sales Count] 4 ),
( [Date].[2022].[Q4].[M12].[4], [Goods].[Electronic/Electrical].[Video Games].[Xbox], [Region].[Africa].[Senegal], [Payment Methods].[Cash on delivery], [Customer Types].[New customers], [Sales Channels].[Affiliate marketing] Measures [Sales] 12 [Sales Count] 0 ),
( [Date].[2022].[Q4].[M12].[4], [Goods].[Foodstuff].[Fruits].[Lemon], [Region].[Asia].[Palestine], [Payment Methods].[Apple Pay], [Customer Types].[Bargain hunters], [Sales Channels].[Telemarketing] Measures [Sales] 24 [Sales Count] 6 ),
( [Date].[2022].[Q4].[M12].[9], [Goods].[Electronic/Electrical].[Office Supplies].[Shredder], [Region].[Africa].[Angola], [Payment Methods].[Bank transfer], [Customer Types].[New customers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 14 [Sales Count] 2 ),
( [Date].[2022].[Q4].[M12].[10], [Goods].[Foodstuff].[Fruits].[Banana], [Region].[Asia].[India], [Payment Methods].[Cash on delivery], [Customer Types].[Window shoppers], [Sales Channels].[Social media] Measures [Sales] 14 [Sales Count] 6 ),
( [Date].[2022].[Q4].[M12].[26], [Goods].[Clothing].[Shoes].[Slippers], [Region].[Oceania].[Vanuatu], [Payment Methods].[Credit card], [Customer Types].[Bargain hunters], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 19 [Sales Count] 9 ),
( [Date].[2022].[Q4].[M12].[31], [Goods].[Foodstuff].[Wine].[Rum], [Region].[North America].[Panama], [Payment Methods].[Digital wallets], [Customer Types].[Return customers], [Sales Channels].[Direct sales] Measures [Sales] 8 [Sales Count] 2 );
